Attribute,Value
Number Critical Scenarios,11
Number Critical Scenarios (duplicate free),11
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,5
Number Best Critical Scenarios (duplicate free),5
Number Best Scenarios,15
Number Best Scenarios (duplicate free),15
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.33
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.844913 -2.701993]
Input value of critical (first of population of interest),[0.524531 0.765187 0.572243]
