run,RS,NSGA-II-D,NSGA-II
1,0.0787270462791195,0.1649541147441878,0.3249416147596231
2,0.08956489684491485,0.15356225320581549,0.35200295107542107
3,0.0815360186184232,0.15901022773529183,0.29811234994145
4,0.08295367922295369,0.21672226369470896,0.5056846821204609
5,0.08269217747827383,0.20965042909350873,0.3446150569800343
6,0.08048403604197021,0.19646880038482742,0.30936107452650674
7,0.08049900568039625,0.2076732725280737,0.34436603945014366
8,0.0833988156111694,0.28273964248069794,0.3274483186679105
9,0.08370489247255665,0.2076255329487283,0.4050585701770687
10,0.08307212571101683,0.1428832461109647,0.27387391516697956
