Attribute,Value
Number Critical Scenarios,702
Number Critical Scenarios (duplicate free),143
Number All Scenarios,1000
Number All Scenarios (duplicate free),177
Number Best Critical Scenarios,365
Number Best Critical Scenarios (duplicate free),45
Number Best Scenarios,632
Number Best Scenarios (duplicate free),51
Ratio Critical/All scenarios,0.70
Ratio Critical/All scenarios (duplicate free),0.81
Ratio Best Critical/Best Scenarios,0.58
Ratio Best Critical/Best Scenarios (duplicate free),0.88
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994176  0.700506  0.      ]
Input value of critical (first of population of interest),[-7.647173 -0.49369  17.606559]
