Attribute,Value
Number Critical Scenarios,452
Number Critical Scenarios (duplicate free),100
Number All Scenarios,1000
Number All Scenarios (duplicate free),221
Number Best Critical Scenarios,283
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,620
Number Best Scenarios (duplicate free),55
Ratio Critical/All scenarios,0.45
Ratio Critical/All scenarios (duplicate free),0.45
Ratio Best Critical/Best Scenarios,0.46
Ratio Best Critical/Best Scenarios (duplicate free),0.47
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999987  0.831322  0.      ]
Input value of critical (first of population of interest),[ 1.091751 -6.503113  1.549031]
