Attribute,Value
Number Critical Scenarios,416
Number Critical Scenarios (duplicate free),111
Number All Scenarios,1000
Number All Scenarios (duplicate free),293
Number Best Critical Scenarios,137
Number Best Critical Scenarios (duplicate free),24
Number Best Scenarios,380
Number Best Scenarios (duplicate free),43
Ratio Critical/All scenarios,0.42
Ratio Critical/All scenarios (duplicate free),0.38
Ratio Best Critical/Best Scenarios,0.36
Ratio Best Critical/Best Scenarios (duplicate free),0.56
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.83192   0.814832]
Input value of critical (first of population of interest),[1.975827 5.540075 7.951051]
