run,RS,NSGA-II,NSGA-II-D
1,0.1727368033828467,0.3654671728055006,0.2842734198525033
2,0.2066364355528166,0.5992951753804806,0.31698032520448666
3,0.17615931657573264,0.4353682143316752,0.3530981763427816
4,0.17735815215610584,0.43417863033538295,0.2821810536118918
5,0.26402636859025985,0.6528210106512721,0.4357012725818475
6,0.3953674475649426,0.5902274601095582,0.3774305091749109
7,0.14601738980914772,0.43582857750567494,0.2886009832314067
8,0.13554300523872936,0.4118549900686565,0.23195138342943256
9,0.1019735897469761,0.27849066663455563,0.20261545779463472
10,0.10337959426599844,0.3170369476619827,0.22294829823030296
11,0.2220563239347558,0.4764427238966089,0.36125249805846815
12,0.08644210848449578,0.306494622737912,0.19551303320494692
13,0.10378780963692866,0.4597886654668639,0.2388120186447374
14,0.20329471834779014,0.5139148872311599,0.3350629226764042
15,0.18875280036408448,0.32205369988126503,0.32766613426302266
16,0.08481300412612881,0.26461298562352803,0.2013722046347372
17,0.11682579860968514,0.3207200388071608,0.24551901199648635
18,0.2122146788845706,0.3776205634916072,0.3232635380957001
19,0.1148741740204108,0.36098465702231297,0.23222937195810425
20,0.27685635298141603,0.4674077400189018,0.3768234809842131
