Attribute,Value
Number Critical Scenarios,686
Number Critical Scenarios (duplicate free),251
Number All Scenarios,1000
Number All Scenarios (duplicate free),346
Number Best Critical Scenarios,122
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,173
Number Best Scenarios (duplicate free),30
Ratio Critical/All scenarios,0.69
Ratio Critical/All scenarios (duplicate free),0.73
Ratio Best Critical/Best Scenarios,0.71
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.989021  0.762917]
Input value of critical (first of population of interest),[ 1.860725 -1.176344  0.347725]
