Attribute,Value
Number Critical Scenarios,393
Number Critical Scenarios (duplicate free),72
Number All Scenarios,1000
Number All Scenarios (duplicate free),218
Number Best Critical Scenarios,267
Number Best Critical Scenarios (duplicate free),30
Number Best Scenarios,607
Number Best Scenarios (duplicate free),65
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.33
Ratio Best Critical/Best Scenarios,0.44
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.977507  0.692563  0.      ]
Input value of critical (first of population of interest),[-5.875647 -7.332862 13.580011]
