algo (subject: RS),p_value,effect
MOPSO,0.01953125,0.15
NSGA-II,0.00390625,0.07
NSGAII-DJ_A0.29_SEQ,0.10546875,0.2
algo (subject: MOPSO),p_value,effect
NSGA-II,0.76953125,0.39
NSGAII-DJ_A0.29_SEQ,0.4921875,0.58
algo (subject: NSGA-II),p_value,effect
NSGAII-DJ_A0.29_SEQ,0.322265625,0.67
