run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.14119997676899723,0.25489399813184627,0.4028749209601018,0.13559013563297398
2,0.26170804568963013,0.3211222606771603,0.3079105250195338,0.18722827132545472
3,0.16982500928764582,0.2808670752120776,0.2443527692871436,0.49042185784327913
4,0.17574161798129784,0.2640258101864665,0.19370526121698986,0.2709440180637095
5,0.1857916851625028,0.20864076155875866,0.4494233238794982,0.322252516542316
6,0.12414996476588765,0.19054570882359892,0.33761319490796715,0.2763248481516816
7,0.17697515197538935,0.2353516341133075,0.686360540072687,0.20149753645059948
8,0.16213620380196234,0.778899581827319,0.4258469975970605,0.5350438440073095
9,0.22432569735619529,0.15511633535007868,0.21364949035834535,0.1813169654442306
10,0.19834290897089982,0.7108930312700238,0.26078909484813756,0.20149753645059948
