Attribute,Value
Number Critical Scenarios,388
Number Critical Scenarios (duplicate free),80
Number All Scenarios,1000
Number All Scenarios (duplicate free),200
Number Best Critical Scenarios,264
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,694
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.38
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999995  0.829309 -3.897474]
Input value of critical (first of population of interest),[-1.81098   7.571257  4.036761]
