Attribute,Value
Number Critical Scenarios,229
Number Critical Scenarios (duplicate free),70
Number All Scenarios,1000
Number All Scenarios (duplicate free),242
Number Best Critical Scenarios,123
Number Best Critical Scenarios (duplicate free),23
Number Best Scenarios,622
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.29
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.34
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999798  0.838591 -4.403596]
Input value of critical (first of population of interest),[ 4.4187   -4.28314  20.474177]
