Attribute,Value
Number Critical Scenarios,430
Number Critical Scenarios (duplicate free),94
Number All Scenarios,1000
Number All Scenarios (duplicate free),177
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.43
Ratio Critical/All scenarios (duplicate free),0.53
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99996275  0.77732529  0.        ]
Input value of critical (first of population of interest),[-7.68600378  7.81569948 13.50325653]
