Attribute,Value
Number Critical Scenarios,209
Number Critical Scenarios (duplicate free),60
Number All Scenarios,1000
Number All Scenarios (duplicate free),295
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.21
Ratio Critical/All scenarios (duplicate free),0.20
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.20
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.60546255  0.82327986]
Input value of critical (first of population of interest),[-6.66724004 -7.88681148  4.18715012]
