Attribute,Value
Number Critical Scenarios,559
Number Critical Scenarios (duplicate free),180
Number All Scenarios,1000
Number All Scenarios (duplicate free),353
Number Best Critical Scenarios,118
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,263
Number Best Scenarios (duplicate free),48
Ratio Critical/All scenarios,0.56
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.52
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.905376  0.703774]
Input value of critical (first of population of interest),[3.985699 1.607906 2.716222]
