Attribute,Value
Number Critical Scenarios,714
Number Critical Scenarios (duplicate free),250
Number All Scenarios,1000
Number All Scenarios (duplicate free),374
Number Best Critical Scenarios,257
Number Best Critical Scenarios (duplicate free),54
Number Best Scenarios,364
Number Best Scenarios (duplicate free),73
Ratio Critical/All scenarios,0.71
Ratio Critical/All scenarios (duplicate free),0.67
Ratio Best Critical/Best Scenarios,0.71
Ratio Best Critical/Best Scenarios (duplicate free),0.74
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999797  0.830815]
Input value of critical (first of population of interest),[-3.524286  7.491938  5.781355]
