RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGA-II-DJ_A1.77_n_evals,NSGA-II-DJ_A1.77_cid,NSGA-II-DJ_A1.77_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma
100.0,0.3253620931765849,0.05450588020386062,100.0,0.4664858107467298,0.09581213281882611,100.0,0.45316485633975123,0.09755276196000952,100.0,0.46266671080062605,0.09512491365895905
200.0,0.248679133027627,0.03773650451526987,200.0,0.43072725161413905,0.08977316706855762,200.0,0.3805594035117456,0.07796899469364829,200.0,0.4224693243374708,0.08696708464565152
300.0,0.21565042987205407,0.025222209655048167,300.0,0.416724075398745,0.08693602367470342,300.0,0.34743786601386956,0.06907197369364498,300.0,0.41220486533524464,0.08512918447508165
400.0,0.19270231494710743,0.017005063886613762,400.0,0.4109000687805745,0.08900496235031817,400.0,0.33037427241638617,0.06722680438611082,400.0,0.40689463958841887,0.08543621606372319
500.0,0.17909934807844857,0.014134722923198822,500.0,0.4069155409617905,0.08778365861737235,500.0,0.316452176668209,0.06542580675193878,500.0,0.40345977970345936,0.08577151974085528
600.0,0.17015350233035975,0.011811907697773818,600.0,0.40409740227231483,0.08694378193220018,600.0,0.30773119572622265,0.06489759430125573,600.0,0.39964465322777254,0.0840952130607783
700.0,0.16181180277856586,0.011036809544574217,700.0,0.4025090612290577,0.08694670610926722,700.0,0.30094259284173097,0.06413299711363454,700.0,0.39840394670232715,0.08590682186133533
800.0,0.1559603708437417,0.010437344741733728,800.0,0.4014837119573344,0.08705579911026848,800.0,0.29467881182863664,0.062474708445452165,800.0,0.3963788858118651,0.08626963970865062
900.0,0.15090143971071737,0.009351457061685912,900.0,0.400661643009916,0.08707208559640194,900.0,0.28986736881869085,0.059460813142931855,900.0,0.39545571111813205,0.08615772031943393
1000.0,0.14590438676749357,0.008093549653960124,1000.0,0.39968423637162587,0.08703103532073124,1000.0,0.28609813276895807,0.059162870661429376,1000.0,0.39394087753602547,0.08615881360733474
