run,RS,NSGA-II,NSGA-II-DJ_A1.77,MOPSO
1,0.15880707150768697,0.4248366427784884,0.3050740640989812,0.3977814673455764
2,0.2357811007332863,0.6423506429463763,0.39012851231162105,0.4804309901523192
3,0.3640313829683343,0.6025410019039706,0.4567689142289926,0.6194846583389804
4,0.08896417735487315,0.2664930209798645,0.21048448790099936,0.2907678155291507
5,0.12820629754325075,0.3991895773670059,0.3608504354421799,0.3511686914348205
6,0.20643028751844067,0.4360818447967867,0.3294684563534129,0.4647935983025072
7,0.09115142821403524,0.4709700695472902,0.2448931787956476,0.4198659283094236
8,0.14665539635927088,0.3997616493871666,0.3136178804027357,0.4451348295210283
9,0.12319210816327407,0.3621763330391989,0.23303966543120294,0.3483812379660041
10,0.22330143167105526,0.44731290193356577,0.3683753603799687,0.4807010606135412
11,0.09117977739547707,0.2706947312272075,0.20434266245082747,0.2772099603561301
12,0.16695920802867886,0.5270741201416819,0.3783034535297765,0.4923505640554421
13,0.09200904535809842,0.3836769857963048,0.27976912365834383,0.40437070442289424
14,0.09663376092412564,0.2862410428900565,0.2185454706179047,0.26642646001805603
15,0.13960034611657274,0.42636830863779707,0.2725263169114346,0.4653094883375711
16,0.13652902174600756,0.3099649007114497,0.2378826694342073,0.3653414827918491
17,0.08117698935203517,0.3580307567601789,0.228077132508568,0.33864120088719585
18,0.13576714303800513,0.3012163195065689,0.24308757495749386,0.34972918297637123
19,0.09936183702475172,0.3620565354574041,0.2344380255894746,0.3342585164820942
20,0.11234992433261076,0.31664734162415376,0.21228927037538764,0.28666971287955395
