Attribute,Value
Number Critical Scenarios,938
Number Critical Scenarios (duplicate free),230
Number All Scenarios,1000
Number All Scenarios (duplicate free),282
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.94
Ratio Critical/All scenarios (duplicate free),0.82
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.92794204  0.80163055]
Input value of critical (first of population of interest),[5.97922    6.22234156 5.77738292]
