Attribute,Value
Number Critical Scenarios,215
Number Critical Scenarios (duplicate free),60
Number All Scenarios,1000
Number All Scenarios (duplicate free),222
Number Best Critical Scenarios,93
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,522
Number Best Scenarios (duplicate free),53
Ratio Critical/All scenarios,0.21
Ratio Critical/All scenarios (duplicate free),0.27
Ratio Best Critical/Best Scenarios,0.18
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999995  0.828702  0.      ]
Input value of critical (first of population of interest),[-1.72681  -5.83473   2.105111]
