region,lower_bound,upper_bound
region 0,[0.1        0.89914998 2.40400648],[0.573883 2.       5.      ]
region 1,[0.1        0.89914998 2.34828055],[1.         2.         2.40400648]
region 2,[0.5954245 0.5       0.       ],[1.         0.89914998 5.        ]
