Attribute,Value
Number Critical Scenarios,655
Number Critical Scenarios (duplicate free),157
Number All Scenarios,1000
Number All Scenarios (duplicate free),299
Number Best Critical Scenarios,245
Number Best Critical Scenarios (duplicate free),35
Number Best Scenarios,268
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.66
Ratio Critical/All scenarios (duplicate free),0.53
Ratio Best Critical/Best Scenarios,0.91
Ratio Best Critical/Best Scenarios (duplicate free),0.76
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.971175  0.757642]
Input value of critical (first of population of interest),[-1.776598  6.081672  3.916444]
