Attribute,Value
Number Critical Scenarios,783
Number Critical Scenarios (duplicate free),261
Number All Scenarios,1000
Number All Scenarios (duplicate free),354
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.78
Ratio Critical/All scenarios (duplicate free),0.74
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99981046  0.80513193]
Input value of critical (first of population of interest),[ 1.77448215 -5.15115978  1.80307561]
