Attribute,Value
Number Critical Scenarios,231
Number Critical Scenarios (duplicate free),64
Number All Scenarios,1000
Number All Scenarios (duplicate free),239
Number Best Critical Scenarios,106
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,437
Number Best Scenarios (duplicate free),52
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.27
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.997166  0.743724 -1.535738]
Input value of critical (first of population of interest),[-0.349289  3.356898  7.921134]
