Attribute,Value
Number Critical Scenarios,312
Number Critical Scenarios (duplicate free),59
Number All Scenarios,1000
Number All Scenarios (duplicate free),228
Number Best Critical Scenarios,241
Number Best Critical Scenarios (duplicate free),26
Number Best Scenarios,548
Number Best Scenarios (duplicate free),58
Ratio Critical/All scenarios,0.31
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.44
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999998  0.828088 -6.269187]
Input value of critical (first of population of interest),[ 7.327093 -2.570988 17.014137]
