Attribute,Value
Number Critical Scenarios,603
Number Critical Scenarios (duplicate free),174
Number All Scenarios,1000
Number All Scenarios (duplicate free),288
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.60
Ratio Critical/All scenarios (duplicate free),0.60
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.73267895  0.69403362]
Input value of critical (first of population of interest),[7.68147671 7.88684637 1.57620388]
