Attribute,Value
Number Critical Scenarios,387
Number Critical Scenarios (duplicate free),85
Number All Scenarios,1000
Number All Scenarios (duplicate free),255
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.33
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99993801  0.84752568  0.        ]
Input value of critical (first of population of interest),[-3.13137319 -6.404904    4.14639069]
