Attribute,Value
Number Critical Scenarios,560
Number Critical Scenarios (duplicate free),171
Number All Scenarios,1000
Number All Scenarios (duplicate free),308
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.56
Ratio Critical/All scenarios (duplicate free),0.56
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99909157  0.8064986 ]
Input value of critical (first of population of interest),[-5.04281666  7.64813913 13.74043034]
