Attribute,Value
Number Critical Scenarios,227
Number Critical Scenarios (duplicate free),89
Number All Scenarios,1000
Number All Scenarios (duplicate free),318
Number Best Critical Scenarios,33
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,303
Number Best Scenarios (duplicate free),66
Ratio Critical/All scenarios,0.23
Ratio Critical/All scenarios (duplicate free),0.28
Ratio Best Critical/Best Scenarios,0.11
Ratio Best Critical/Best Scenarios (duplicate free),0.18
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999814  0.812129]
Input value of critical (first of population of interest),[ 0.752931 -6.385517  3.975076]
