Attribute,Value
Number Critical Scenarios,924
Number Critical Scenarios (duplicate free),288
Number All Scenarios,1000
Number All Scenarios (duplicate free),345
Number Best Critical Scenarios,330
Number Best Critical Scenarios (duplicate free),59
Number Best Scenarios,330
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.92
Ratio Critical/All scenarios (duplicate free),0.83
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999377  0.838221]
Input value of critical (first of population of interest),[-6.392443 -0.602911  2.540056]
