Attribute,Value
Number Critical Scenarios,670
Number Critical Scenarios (duplicate free),125
Number All Scenarios,1000
Number All Scenarios (duplicate free),176
Number Best Critical Scenarios,15
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.67
Ratio Critical/All scenarios (duplicate free),0.71
Ratio Best Critical/Best Scenarios,0.75
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999058  0.78539159  0.        ]
Input value of critical (first of population of interest),[-0.74969857  7.76772238 13.54662614]
