Attribute,Value
Number Critical Scenarios,363
Number Critical Scenarios (duplicate free),133
Number All Scenarios,1000
Number All Scenarios (duplicate free),348
Number Best Critical Scenarios,138
Number Best Critical Scenarios (duplicate free),32
Number Best Scenarios,234
Number Best Scenarios (duplicate free),57
Ratio Critical/All scenarios,0.36
Ratio Critical/All scenarios (duplicate free),0.38
Ratio Best Critical/Best Scenarios,0.59
Ratio Best Critical/Best Scenarios (duplicate free),0.56
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.992775  0.840554]
Input value of critical (first of population of interest),[-5.951094 -1.668914  2.517706]
