Attribute,Value
Number Critical Scenarios,613
Number Critical Scenarios (duplicate free),178
Number All Scenarios,1000
Number All Scenarios (duplicate free),327
Number Best Critical Scenarios,190
Number Best Critical Scenarios (duplicate free),33
Number Best Scenarios,233
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.61
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.82
Ratio Best Critical/Best Scenarios (duplicate free),0.75
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.754992  0.80209 ]
Input value of critical (first of population of interest),[-5.823608 -6.56035   3.650841]
