Attribute,Value
Number Critical Scenarios,977
Number Critical Scenarios (duplicate free),291
Number All Scenarios,1000
Number All Scenarios (duplicate free),314
Number Best Critical Scenarios,186
Number Best Critical Scenarios (duplicate free),45
Number Best Scenarios,186
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.98
Ratio Critical/All scenarios (duplicate free),0.93
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.820786]
Input value of critical (first of population of interest),[-3.023216  7.530699  3.595046]
