Attribute,Value
Number Critical Scenarios,130
Number Critical Scenarios (duplicate free),130
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,6
Number Best Scenarios (duplicate free),6
Ratio Critical/All scenarios,0.13
Ratio Critical/All scenarios (duplicate free),0.13
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99997473  0.78666667  0.        ]
Input value of critical (first of population of interest),[ 7.56377093 -4.42778607 15.27368028]
