Attribute,Value
Number Critical Scenarios,298
Number Critical Scenarios (duplicate free),78
Number All Scenarios,1000
Number All Scenarios (duplicate free),211
Number Best Critical Scenarios,144
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,488
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.30
Ratio Critical/All scenarios (duplicate free),0.37
Ratio Best Critical/Best Scenarios,0.30
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994505  0.819269  0.      ]
Input value of critical (first of population of interest),[ 3.254234 -3.937587  3.966914]
