Attribute,Value
Number Critical Scenarios,355
Number Critical Scenarios (duplicate free),84
Number All Scenarios,1000
Number All Scenarios (duplicate free),202
Number Best Critical Scenarios,142
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,447
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.42
Ratio Best Critical/Best Scenarios,0.32
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-1.        0.828396 -5.575853]
Input value of critical (first of population of interest),[-6.782363  5.948696  2.747875]
