Attribute,Value
Number Critical Scenarios,897
Number Critical Scenarios (duplicate free),214
Number All Scenarios,1000
Number All Scenarios (duplicate free),293
Number Best Critical Scenarios,442
Number Best Critical Scenarios (duplicate free),50
Number Best Scenarios,442
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.90
Ratio Critical/All scenarios (duplicate free),0.73
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999877  0.853093]
Input value of critical (first of population of interest),[-7.135559 -0.288109  2.613589]
