Attribute,Value
Number Critical Scenarios,976
Number Critical Scenarios (duplicate free),239
Number All Scenarios,1000
Number All Scenarios (duplicate free),259
Number Best Critical Scenarios,287
Number Best Critical Scenarios (duplicate free),36
Number Best Scenarios,287
Number Best Scenarios (duplicate free),36
Ratio Critical/All scenarios,0.98
Ratio Critical/All scenarios (duplicate free),0.92
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994519  0.728366]
Input value of critical (first of population of interest),[0.498649 4.714954 1.470557]
