Attribute,Value
Number Critical Scenarios,831
Number Critical Scenarios (duplicate free),155
Number All Scenarios,1000
Number All Scenarios (duplicate free),195
Number Best Critical Scenarios,638
Number Best Critical Scenarios (duplicate free),68
Number Best Scenarios,737
Number Best Scenarios (duplicate free),71
Ratio Critical/All scenarios,0.83
Ratio Critical/All scenarios (duplicate free),0.79
Ratio Best Critical/Best Scenarios,0.87
Ratio Best Critical/Best Scenarios (duplicate free),0.96
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.994868  0.669836  0.      ]
Input value of critical (first of population of interest),[2.464548 5.098704 3.550617]
