Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
258,0.654519,0.891442,0.775167,-0.977905,-2.915735,-7.606743
259,0.437518,0.641668,0.341440,-0.996129,-2.452960,-8.208936
260,0.658660,0.880628,0.673516,-0.969609,-2.920104,-9.181490
261,0.663365,0.888174,0.664178,-0.933174,-2.923838,-7.224901
262,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
263,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
264,0.558410,1.291823,1.991070,-0.802395,-3.167095,-7.817957
265,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
266,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
267,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
268,0.560500,1.297496,1.996745,-0.800198,-3.186949,-8.255173
269,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
270,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
271,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
272,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
273,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
274,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
275,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
276,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
277,0.654519,0.891442,0.775167,-0.977905,-2.915735,-7.606743
278,0.437518,0.641668,0.341440,-0.996129,-2.452960,-8.208936
279,0.658660,0.880628,0.673516,-0.969609,-2.920104,-9.181490
280,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
281,0.663365,0.888174,0.664178,-0.933174,-2.923838,-7.224901
282,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
283,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
284,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
285,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
286,0.558410,1.291823,1.991070,-0.802395,-3.167095,-7.817957
287,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
288,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
289,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
290,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
291,0.560500,1.297496,1.996745,-0.800198,-3.186949,-8.255173
292,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
293,0.654519,0.891442,0.775167,-0.977905,-2.915735,-7.606743
294,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
295,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
296,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
297,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
298,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
299,0.437518,0.641668,0.341440,-0.996129,-2.452960,-8.208936
300,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
301,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
302,0.663365,0.888174,0.664178,-0.933174,-2.923838,-7.224901
303,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
304,0.558410,1.291823,1.991070,-0.802395,-3.167095,-7.817957
305,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
306,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
307,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
308,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
309,0.560500,1.297496,1.996745,-0.800198,-3.186949,-8.255173
310,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
311,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
312,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
313,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
314,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
315,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
316,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
317,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
318,0.663365,0.888174,0.664178,-0.933174,-2.923838,-7.224901
319,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
320,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
321,0.558410,1.291823,1.991070,-0.802395,-3.167095,-7.817957
322,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
323,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
324,0.560500,1.297496,1.996745,-0.800198,-3.186949,-8.255173
325,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
326,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
327,0.635132,0.856595,0.670173,-0.984922,-2.813137,-6.873616
328,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
329,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
330,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
331,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
332,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
333,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
334,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
335,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
336,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
337,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
338,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
339,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
340,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
341,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
342,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
343,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
344,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
345,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
346,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
347,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
348,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
349,0.635647,0.856595,0.670173,-0.996743,-2.813768,-8.351983
350,0.597937,1.384563,1.998913,-0.818698,-3.352006,-8.351983
351,0.665629,0.888174,0.656868,-0.934843,-2.925336,-8.351983
352,0.690321,0.880090,0.540687,-0.994536,-2.857162,-8.351983
353,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
354,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
355,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
356,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
357,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
358,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
359,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
360,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
361,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
362,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
363,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
364,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
365,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
366,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
367,0.635647,0.856595,0.670173,-0.996743,-2.813768,-8.351983
368,0.597937,1.384563,1.998913,-0.818698,-3.352006,-8.351983
369,0.665629,0.888174,0.656868,-0.934843,-2.925336,-8.351983
370,0.690321,0.880090,0.540687,-0.994536,-2.857162,-8.351983
371,0.647295,0.868917,0.682186,-0.987045,-2.908758,-7.144981
372,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
373,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
