Attribute,Value
Number Critical Scenarios,683
Number Critical Scenarios (duplicate free),65
Number All Scenarios,2000
Number All Scenarios (duplicate free),275
Number Best Critical Scenarios,348
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,859
Number Best Scenarios (duplicate free),45
Ratio Critical/All scenarios,0.34
Ratio Critical/All scenarios (duplicate free),0.24
Ratio Best Critical/Best Scenarios,0.41
Ratio Best Critical/Best Scenarios (duplicate free),0.47
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.986643 -2.344739 -0.      ]
Input value of critical (first of population of interest),[0.432061 0.637352 0.332468]
