Attribute,Value
Number Critical Scenarios,0
Number Critical Scenarios (duplicate free),0
Number All Scenarios,2000
Number All Scenarios (duplicate free),444
Number Best Critical Scenarios,0
Number Best Critical Scenarios (duplicate free),0
Number Best Scenarios,67
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.00
Ratio Critical/All scenarios (duplicate free),0.00
Ratio Best Critical/Best Scenarios,0.00
Ratio Best Critical/Best Scenarios (duplicate free),0.00
Iteration first critical found,0
Fitness value of critical (first of population of interest),None
Input value of critical (first of population of interest),None
