Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
1432,0.649372,1.541768,2.300651,-0.994815,-1.932874,0
1433,0.651647,1.545778,2.212684,-0.974197,-1.937402,0
1434,0.654060,1.763885,2.530477,-0.957076,-1.937563,0
1435,0.999691,1.559125,0.340300,-0.549235,-4.990296,0
1436,0.640030,1.583489,2.120571,-0.632395,-3.469109,0
1437,0.587280,1.614002,2.609601,-0.877058,-3.275635,0
1438,0.555045,1.597446,3.017434,-0.999967,-1.710027,0
1439,0.999693,1.559125,0.340300,-0.549233,-4.990296,0
1440,0.999802,1.558856,0.338808,-0.533685,-5.004840,0
1441,0.624292,1.692193,2.609737,-0.999940,-1.869635,0
1442,0.624292,1.692193,2.609585,-0.999940,-1.869635,0
1443,0.999805,1.558856,0.338808,-0.533685,-5.004840,0
1444,0.999839,1.558856,0.338808,-0.533685,-5.004840,0
1445,0.649554,1.541778,2.302987,-0.997758,-1.933264,0
1446,0.651807,1.612088,2.277856,-0.975437,-1.937475,0
1447,0.654060,1.776604,2.530477,-0.975181,-1.937563,0
1448,0.999693,1.557832,0.340268,-0.560200,-4.990296,0
1449,0.644471,1.646129,2.237196,-0.692002,-3.477882,0
1450,0.587280,1.613468,2.609601,-0.880118,-3.275635,0
1451,0.651647,1.540644,2.238154,-0.975805,-1.937402,0
1452,0.555045,1.599171,3.018081,-0.999993,-1.710027,0
1453,0.586162,1.649460,2.734912,-0.999882,-1.773525,0
1454,0.624292,1.688106,2.609737,-0.999860,-1.869635,0
1455,0.999796,1.558860,0.338808,-0.533648,-5.004840,0
1456,0.999796,1.558860,0.338801,-0.533648,-5.004840,0
1457,0.999838,1.558860,0.339929,-0.533648,-5.004840,0
1458,0.640164,1.811391,2.486237,-0.996243,-1.909802,0
1459,0.649372,1.542109,2.300651,-0.994860,-1.932874,0
1460,0.640026,1.811391,2.486237,-0.997193,-1.909292,0
1461,0.651807,1.613114,2.277856,-0.975361,-1.937475,0
1462,0.654032,1.544357,2.300651,-0.965500,-1.937563,0
1463,0.651740,1.544357,2.300651,-0.970097,-1.937506,0
1464,0.999693,1.558857,0.340268,-0.551504,-4.990296,0
1465,0.640030,1.580059,2.123756,-0.661145,-3.469109,0
1466,0.640168,1.583489,2.120571,-0.634742,-3.470353,0
1467,0.587280,1.613661,2.609601,-0.879013,-3.275635,0
1468,0.651647,1.542109,2.238154,-0.975692,-1.937402,0
1469,0.555045,1.599128,3.017434,-0.999993,-1.710027,0
1470,0.586162,1.649454,2.734912,-0.999882,-1.773525,0
1471,0.999803,1.559118,0.338827,-0.531379,-5.004840,0
1472,0.649372,1.541768,2.300651,-0.994815,-1.932874,0
