Attribute,Value
Number Critical Scenarios,390
Number Critical Scenarios (duplicate free),77
Number All Scenarios,1000
Number All Scenarios (duplicate free),245
Number Best Critical Scenarios,194
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,500
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.39
Ratio Critical/All scenarios (duplicate free),0.31
Ratio Best Critical/Best Scenarios,0.39
Ratio Best Critical/Best Scenarios (duplicate free),0.32
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.996127  0.816873]
Input value of critical (first of population of interest),[ 1.912776 -5.121238  1.887902]
