Attribute,Value
Number Critical Scenarios,1104
Number Critical Scenarios (duplicate free),154
Number All Scenarios,2000
Number All Scenarios (duplicate free),382
Number Best Critical Scenarios,315
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,434
Number Best Scenarios (duplicate free),28
Ratio Critical/All scenarios,0.55
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.73
Ratio Best Critical/Best Scenarios (duplicate free),0.57
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.989274 -2.104186]
Input value of critical (first of population of interest),[0.775481 1.832045 1.841512]
