Attribute,Value
Number Critical Scenarios,959
Number Critical Scenarios (duplicate free),263
Number All Scenarios,1000
Number All Scenarios (duplicate free),300
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.96
Ratio Critical/All scenarios (duplicate free),0.88
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.99803877  0.75162556]
Input value of critical (first of population of interest),[6.97921333 4.45848525 3.38104156]
