Attribute,Value
Number Critical Scenarios,668
Number Critical Scenarios (duplicate free),223
Number All Scenarios,1000
Number All Scenarios (duplicate free),328
Number Best Critical Scenarios,74
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,188
Number Best Scenarios (duplicate free),39
Ratio Critical/All scenarios,0.67
Ratio Critical/All scenarios (duplicate free),0.68
Ratio Best Critical/Best Scenarios,0.39
Ratio Best Critical/Best Scenarios (duplicate free),0.54
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999191  0.808188]
Input value of critical (first of population of interest),[-0.487895  6.854644 15.938434]
