Attribute,Value
Number Critical Scenarios,744
Number Critical Scenarios (duplicate free),170
Number All Scenarios,1000
Number All Scenarios (duplicate free),251
Number Best Critical Scenarios,307
Number Best Critical Scenarios (duplicate free),32
Number Best Scenarios,368
Number Best Scenarios (duplicate free),41
Ratio Critical/All scenarios,0.74
Ratio Critical/All scenarios (duplicate free),0.68
Ratio Best Critical/Best Scenarios,0.83
Ratio Best Critical/Best Scenarios (duplicate free),0.78
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.948115  0.700334]
Input value of critical (first of population of interest),[4.18396  1.407398 2.973878]
