Attribute,Value
Number Critical Scenarios,592
Number Critical Scenarios (duplicate free),176
Number All Scenarios,1000
Number All Scenarios (duplicate free),324
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.59
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.65
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99909884  0.8506657 ]
Input value of critical (first of population of interest),[ 2.06856074 -6.70745262  1.86106829]
