n_evals,hv_all
40,0.0
80,0.0
120,0.0
160,0.0
200,0.019963206153797024
240,0.019963206153797024
280,0.1823990335452041
320,0.1823990335452041
360,0.1823990335452041
400,0.3953591018363994
440,0.3960941439354191
480,0.3978223308783754
520,0.40512226829449655
560,0.44068204468008276
600,0.44068204468008276
640,0.44068204468008276
680,0.45291062459392634
720,0.46596475869974
760,0.46596475869974
800,0.46596475869974
840,0.4712144894558381
880,0.4733726099573196
920,0.4733726099573196
960,0.47337268065478766
1000,0.4736752885736555
1040,0.47399222919725825
1080,0.4739923775420647
1120,0.5544943315822484
1160,0.5674842630752316
1200,0.5682076035368956
1240,0.5691228381463332
1280,0.5734704191637093
1320,0.573737635613382
1360,0.5737617309088309
1400,0.5737640759721119
1440,0.5737647058529568
1480,0.5751106597114659
1520,0.6122358097900582
1560,0.6445255648659801
1600,0.6473203281036463
1640,0.6473476584986557
1680,0.647358429977905
1720,0.647358429977905
1760,0.6474710280755344
1800,0.6516015741144977
1840,0.6577332763935279
1880,0.6582559347916315
1920,0.660065346343019
1960,0.6623876295982662
2000,0.6625176070041956
