Attribute,Value
Number Critical Scenarios,324
Number Critical Scenarios (duplicate free),99
Number All Scenarios,1000
Number All Scenarios (duplicate free),224
Number Best Critical Scenarios,120
Number Best Critical Scenarios (duplicate free),32
Number Best Scenarios,581
Number Best Scenarios (duplicate free),69
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.44
Ratio Best Critical/Best Scenarios,0.21
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.887386  0.708689  0.      ]
Input value of critical (first of population of interest),[7.182381 0.088526 2.768351]
