Attribute,Value
Number Critical Scenarios,441
Number Critical Scenarios (duplicate free),132
Number All Scenarios,1000
Number All Scenarios (duplicate free),326
Number Best Critical Scenarios,122
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,304
Number Best Scenarios (duplicate free),53
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.47
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.994899  0.810571]
Input value of critical (first of population of interest),[-4.552839  4.406988  3.304817]
