Attribute,Value
Number Critical Scenarios,278
Number Critical Scenarios (duplicate free),77
Number All Scenarios,1000
Number All Scenarios (duplicate free),238
Number Best Critical Scenarios,163
Number Best Critical Scenarios (duplicate free),25
Number Best Scenarios,486
Number Best Scenarios (duplicate free),62
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,0.34
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.997333  0.814725  0.      ]
Input value of critical (first of population of interest),[-1.111502 -7.223674  1.631581]
