Attribute,Value
Number Critical Scenarios,332
Number Critical Scenarios (duplicate free),89
Number All Scenarios,1000
Number All Scenarios (duplicate free),208
Number Best Critical Scenarios,222
Number Best Critical Scenarios (duplicate free),30
Number Best Scenarios,677
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.33
Ratio Critical/All scenarios (duplicate free),0.43
Ratio Best Critical/Best Scenarios,0.33
Ratio Best Critical/Best Scenarios (duplicate free),0.51
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-1.        0.818076 -2.011011]
Input value of critical (first of population of interest),[-2.733934  6.820012  4.448214]
