Attribute,Value
Number Critical Scenarios,361
Number Critical Scenarios (duplicate free),70
Number All Scenarios,1000
Number All Scenarios (duplicate free),203
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.36
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.30
Ratio Best Critical/Best Scenarios (duplicate free),0.30
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.91372603  0.85866844  0.        ]
Input value of critical (first of population of interest),[-3.20868753 -7.36172281  1.98193083]
