Attribute,Value
Number Critical Scenarios,200
Number Critical Scenarios (duplicate free),46
Number All Scenarios,1000
Number All Scenarios (duplicate free),250
Number Best Critical Scenarios,120
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,503
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.18
Ratio Best Critical/Best Scenarios,0.24
Ratio Best Critical/Best Scenarios (duplicate free),0.31
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.988993  0.785415 -5.473365]
Input value of critical (first of population of interest),[1.064853 6.605057 8.423528]
