Attribute,Value
Number Critical Scenarios,973
Number Critical Scenarios (duplicate free),269
Number All Scenarios,1000
Number All Scenarios (duplicate free),292
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.97
Ratio Critical/All scenarios (duplicate free),0.92
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.90609121  0.66378898]
Input value of critical (first of population of interest),[-7.65488906  1.85252165 17.56725525]
