Attribute,Value
Number Critical Scenarios,366
Number Critical Scenarios (duplicate free),92
Number All Scenarios,1000
Number All Scenarios (duplicate free),191
Number Best Critical Scenarios,220
Number Best Critical Scenarios (duplicate free),39
Number Best Scenarios,652
Number Best Scenarios (duplicate free),54
Ratio Critical/All scenarios,0.37
Ratio Critical/All scenarios (duplicate free),0.48
Ratio Best Critical/Best Scenarios,0.34
Ratio Best Critical/Best Scenarios (duplicate free),0.72
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999998  0.836001 -3.404967]
Input value of critical (first of population of interest),[-5.739185  3.686958  5.126577]
