Attribute,Value
Number Critical Scenarios,7
Number Critical Scenarios (duplicate free),7
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.00
Ratio Critical/All scenarios (duplicate free),0.00
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.43
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.833561 -2.624061]
Input value of critical (first of population of interest),[0.440808 1.31436  3.137658]
