Attribute,Value
Number Critical Scenarios,920
Number Critical Scenarios (duplicate free),203
Number All Scenarios,1000
Number All Scenarios (duplicate free),237
Number Best Critical Scenarios,19
Number Best Critical Scenarios (duplicate free),19
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.92
Ratio Critical/All scenarios (duplicate free),0.86
Ratio Best Critical/Best Scenarios,0.95
Ratio Best Critical/Best Scenarios (duplicate free),0.95
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.8460232   0.68730442  0.        ]
Input value of critical (first of population of interest),[3.36996689 2.04876924 3.74972775]
