Attribute,Value
Number Critical Scenarios,492
Number Critical Scenarios (duplicate free),151
Number All Scenarios,1000
Number All Scenarios (duplicate free),296
Number Best Critical Scenarios,142
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,348
Number Best Scenarios (duplicate free),54
Ratio Critical/All scenarios,0.49
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.41
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.950387  0.74178 ]
Input value of critical (first of population of interest),[4.447674 1.451543 0.132414]
