Attribute,Value
Number Critical Scenarios,127
Number Critical Scenarios (duplicate free),23
Number All Scenarios,2000
Number All Scenarios (duplicate free),444
Number Best Critical Scenarios,7
Number Best Critical Scenarios (duplicate free),1
Number Best Scenarios,67
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.06
Ratio Critical/All scenarios (duplicate free),0.05
Ratio Best Critical/Best Scenarios,0.10
Ratio Best Critical/Best Scenarios (duplicate free),0.10
Iteration first critical found,15
Fitness value of critical (first of population of interest),[-0.844942 -3.270982]
Input value of critical (first of population of interest),[0.586162 1.616752 2.609601]
