Attribute,Value
Number Critical Scenarios,171
Number Critical Scenarios (duplicate free),41
Number All Scenarios,1000
Number All Scenarios (duplicate free),251
Number Best Critical Scenarios,88
Number Best Critical Scenarios (duplicate free),15
Number Best Scenarios,446
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.17
Ratio Critical/All scenarios (duplicate free),0.16
Ratio Best Critical/Best Scenarios,0.20
Ratio Best Critical/Best Scenarios (duplicate free),0.25
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.810793  0.821965 -0.301424]
Input value of critical (first of population of interest),[-7.972036  2.766784  2.586949]
